titre_du_poste,compagnie,date_publication,ville,domaine,specialité,diplome_requis,annee_experience,type_contrat,competences,source_url
Encadreur Communautaire Pédagogique,PRODEV,3 Juin 2025,Port-au-Prince,Sciences de l’Education,Pédagogie,Licence,,CDD,"['Solide expérience confirmée dans la formation continue et l’accompagnement des enseignants et directeurs', 'Être un bon leader pédagogique capable d’aider les enseignants et les directeurs à développer de bonnes pratiques pédagogiques et éducatives', 'Fortes capacités à travailler en équipe et transmettre ses connaissances et compétences', 'Capacité de travailler en autonomie et être créatif', 'Capacité de travailler et de gérer des conditions d’urgence et de stress']",https://jobpaw.com/professionals/job-details?idj=17089
Project Associate - Wash,Organisation Internationale pour les Migrations,9 Juin 2025,Port-au-Prince,Sciences de l’Ingénieur,Eau & Assainissement,,,CDI,,https://jobpaw.com/professionals/job-details?idj=17090
Humanitarian Access and Safety Coordinator,Excellence Centre de Services et d'information S.A.,4 Juin 2025,Port-au-Prince,Sécurité,Sécurité,,,CDI,"['Experience of working as an HAS Coordinator in the context of Haiti', 'Previous experience in complex and volatile contexts', 'Proven track record in carrying out the responsibilities of the post', 'Fluency in spoken and written English, French and Haitian Creole', 'Prior experience delivering security training']",https://jobpaw.com/professionals/job-details?idj=17091
Conseiller/ère Sécurité et Responsable de Passation de Marchés,HELVETAS Swiss Intercooperation/Haiti,20 Oct 2025,Jacmel,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,4.0,CDD,"['Gestion des environnements volatiles', 'Maitrise des logiciels bureautiques courant, Word, Excel, Outlook, etc.', 'La maîtrise du français, de l’anglais et du créole est essentielle, tant à l’écrit qu’à l’oral', 'Responsabiliser et instaurer la confiance', 'Initier l’action et le changement']",https://jobpaw.com/professionals/job-details?idj=17092
Gestionnaire de la Coopération au sein du Mouvement,International Committee of Red Cross / Comite International de la Croix-Rouge,6 Juin 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Licence,3.0,CDD,"['Connaissance du Mouvement international de la Croix-Rouge et du Croissant-Rouge', 'Aptitudes de négociateur', 'Aptitudes de communicateur', 'Aptitudes de formateur', ""Capacité d'analyse""]",https://jobpaw.com/professionals/job-details?idj=17093
Fleet Manager,prive,18 Juin 2025,Port-au-Prince,Transport et Logistique,Logistique,Licence,5.0,CDI,"['Superviser le Garage', 'Superviser la flotte de la compagnie', ""Superviser l'entretien et la réparation des véhicules"", 'Créer les documents techniques liés à chaque véhicule', 'Gérer les contrats de location']",https://jobpaw.com/professionals/job-details?idj=17094
Technicien (ne) VSLA/AEC,Concern Worldwide Haiti,9 Juin 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Licence,2.0,CDD,"['Bonne maîtrise des logiciels Word & Excel', 'Excellentes qualités en communication', 'Capacité à travailler sous pression', 'Capable de travailler de manière autonome et de prendre des initiatives', 'Attitude de respect et ouverture vis-à-vis des autres']",https://jobpaw.com/professionals/job-details?idj=17095
Gestionnaire Senior_Approvisionnement et Achats,Zanmi Lasante/PIH,9 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Master,5.0,CDD,"[""Gestion d'appels d'offres et contrats"", 'Excellentes capacités de négociation', 'Suivi contractuel', ""Sens de l'organisation"", 'Autonomie']",https://jobpaw.com/professionals/job-details?idj=17096
Chef de la Cellule de développement durable pour le Programme « d’Infrastructure productive V,Unite Technique d'Execution du Ministere de l'Economie et des Finances,9 Juin 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Master,12.0,CDI,"['Gestion environnementale et sociale de projets de développement', ""Analyse d'impact"", 'Évaluation environnementale et sociale', 'Élaboration et mise en œuvre des documents de sauvegardes', ""Supervision d'équipe de terrain""]",https://jobpaw.com/professionals/job-details?idj=17097
Business Development Manager-Humanitarian,Plan International,10 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,5.0,CDD,"['Expérience en mobilisation de ressources dans des contextes humanitaires', ""Gestion des subventions d'urgence et réponse humanitaire"", 'Connaissance des mécanismes de financement des donateurs humanitaires', 'Rédaction de propositions humanitaires', 'Compétences en gestion de contrats']",https://jobpaw.com/professionals/job-details?idj=17098
Finance and Operations Manager,Plan International,10 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Master,5.0,CDD,"['Up-to-date knowledge of the operating environment and skills in contextualizing operations.', 'Eloquent appreciation of budgeting and budgetary control.', 'Experience in leading team, coaching and mentoring, especially managing a large team.', 'Excellent experience in conflict resolution.', 'Results oriented and metrics driven']",https://jobpaw.com/professionals/job-details?idj=17099
Operations Manager,World Renew,11 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Non précisé,5.0,CDD,"['High ethical standards and ability to respect and support the Christian mission, vision and values of World Renew', 'Demonstrated commitment to contribute to and promote a work environment that values diversity, inclusion and equity', 'Strong personnel management and mentoring skills', 'Strategic thinking and documentation skills', 'Ability to work in a team and develop team skills in others, including local partners']",https://jobpaw.com/professionals/job-details?idj=17100
Operations Manager,World Renew,11 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Non précisé,5.0,CDD,"['High ethical standards', 'Strong personnel management and mentoring skills', 'Strategic thinking and documentation skills', 'Ability to work in a team', 'Proactive and able to work with minimal supervision']",https://jobpaw.com/professionals/job-details?idj=17101
Program Manager,World Renew,11 Juin 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences du Développement,Non précisé,5.0,CDD,"['Respect des standards éthiques', 'Gestion du personnel et mentorat', 'Pensée stratégique', 'Compétences en documentation', 'Capacité à travailler en équipe']",https://jobpaw.com/professionals/job-details?idj=17102
Directeur des services techniques,Unite Technique d'Execution du Ministere de l'Economie et des Finances,12 Juin 2025,Cap-Haitien,Sciences de l’Ingénieur,Génie Civil,Licence,10.0,CDD,"['Maîtrise des techniques de management', 'Maîtrise des méthodes de conduite d’opérations et de projets', 'Être capable de réaliser un diagnostic des installations existantes', 'Excellente connaissance technique des bâtiments et infrastructures publiques', 'Maîtrise des techniques d’ingénierie du bâtiment']",https://jobpaw.com/professionals/job-details?idj=17103
Technicien (ne) Cash & Market,Concern Worldwide Haiti,15 Juin 2025,Port-au-Prince,Sciences économiques et politiques,Economie,Non précisé,2.0,CDD,"['Analyse de marché', 'Mobilisation communautaire', 'Communication', 'Suivi de terrain', 'Rapportage']",https://jobpaw.com/professionals/job-details?idj=17104
Responsable de Programme et de Qualité,Fondazione CESVI Onlus,15 Juin 2025,,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Non précisé,3.0,CDD,"['Autonomie', 'Esprit d’équipe', 'Flexibilité', 'Capacité de travailler sous pression', 'Connaissance de la zone d’intervention']",https://jobpaw.com/professionals/job-details?idj=17105
Chef de service EHS au Parc Industriel de Caracol (PIC),Unite Technique d'Execution du Ministere de l'Economie et des Finances,16 Juin 2025,Port-au-Prince,Agriculture – Agroalimentaire,Génie Rural,Licence,10.0,CDI,"['Travailler en équipe', ""S'adapter à un environnement de travail dynamique"", 'Être méthodique', 'Excellente capacité analytique', 'Maîtriser les outils informatiques']",https://jobpaw.com/professionals/job-details?idj=17106
Responsable de Communication,MAST / Unité de Gestion de Projet,17 Juin 2025,Port-au-Prince,Communication et Journalisme,Communication,Master,3.0,CDD,"['Expérience avérée dans l’innovation et la promotion des nouvelles approches et techniques de communication', 'Excellentes capacités en relations institutionnelles', 'Compétences en plaidoyer stratégique', 'Maîtrise des outils de reporting stratégique', 'Bonne connaissance des médias et des prestataires de service dans le domaine de la communication']",https://jobpaw.com/professionals/job-details?idj=17107
Comptable Jr,Caribbean Grain Company S.A.,18 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Licence,2.0,CDI,"['Enregistrer les transactions journalières dans Navision', 'Mettre à jour les comptes des débiteurs', 'Mettre à jour les comptes des créditeurs', 'Émettre des rapports journaliers', 'Décompte physique des petites caisses']",https://jobpaw.com/professionals/job-details?idj=17108
Assistant Pedagogique Centre de Formation Hermann Gmeiner,SOS Villages d'Enfants Haiti,18 Juin 2025,Cap-Haitien,Sciences de l’Education,Enseignement Technique,Licence,5.0,CDI,"['Excellentes compétences en communication', ""Gestion d'équipe"", 'Capacité à analyser les besoins en formation', 'Concevoir des programmes adaptés', 'Maîtrise des logiciels bureautiques']",https://jobpaw.com/professionals/job-details?idj=17109
Recrutement d'un.e Spécialiste en Passation des marchés en appui aux infrastructures UGP-MENFP,Unite de Gestion de Projets / Ministere de l'Education Nationale et de la Formation professionnelle,18 Juin 2025,Port-au-Prince,Sciences économiques et politiques,Economie,Licence,4.0,CDD,"['Capacité à planifier et à organiser son travail', 'Excellente capacité à communiquer clairement à l’oral et à l’écrit', 'Capacité à travailler sous pression', 'Capacités d’analyse', 'Compétences techniques']",https://jobpaw.com/professionals/job-details?idj=17110
Recrutement d'un.e Spécialiste en Passation des marchés en appui aux infrastructures UGP-MENFP,Unite de Gestion de Projets / Ministere de l'Education Nationale et de la Formation professionnelle,18 Juin 2025,Port-au-Prince,Sciences économiques et politiques,Economie,Licence,4.0,CDD,"[""Faire preuve d'une capacité à planifier et à organiser son travail"", 'Avoir une excellente capacité à communiquer clairement à l’oral et à l’écrit', 'Capacité à travailler sous pression', 'Capacités d’analyse et compétences techniques', 'Capacité à produire des résultats de qualité dans les délais impartis']",https://jobpaw.com/professionals/job-details?idj=17111
Officier (ère) Suivi-évaluation et apprentissage,Mercy Corps Haiti,19 Juin 2025,Port-au-Prince,Sciences économiques et politiques,Statistiques,Licence,3.0,CDD,"['Éthique professionnelle', 'Attention au détail', 'Maîtrise de la gestion des priorités', 'Très bon relationnel', 'Excellente maîtrise du français']",https://jobpaw.com/professionals/job-details?idj=17112
Spécialiste Financier/ Analyste budgétaire,MSPP / Unite de Gestion du Projet PEPFAR,20 Juin 2025,Delmas,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Licence,5.0,CDD,"['Excellentes compétences en communication écrite et orale', 'Capacité à respecter des échéances urgentes', 'Connaissances des Principes comptables Généralement reconnus', ""Excellentes capacités d'analyse et de raisonnement abstrait"", 'Maîtrise des instruments informatiques']",https://jobpaw.com/professionals/job-details?idj=17113
Chef de cuisine,Paryaj Pam,20 Juin 2025,Cap-Haitien,"Tourisme, Hôtellerie et Restauration",Cuisine,Non précisé,2.0,CDI,"['Intérêt pour la cuisine', 'Rigueur et professionnalisme', 'Excellente gestion des priorités (planification et organisation du travail)', 'Leadership', 'Sens de l’initiative']",https://jobpaw.com/professionals/job-details?idj=17114
Responsable Logistique,Paryaj Pam,20 Juin 2025,Cap-Haitien,Transport et Logistique,Logistique,Licence,3.0,CDI,"['Fortes capacités organisationnelles', 'Attention aux détails', 'Maîtrise des outils informatiques', ""Connaissance des techniques d'optimisation logistique"", 'Excellentes compétences en gestion de projet']",https://jobpaw.com/professionals/job-details?idj=17115
Receptionniste,prive,20 Juin 2025,Port-au-Prince,Transport et Logistique,,Non précisé,,CDI,"['Assurer l’accueil des visiteurs', 'Répondre aux appels téléphoniques', 'Recevoir le courrier de la compagnie', 'Placer des commandes sur demande', 'Gérer la communication entre le siège social et les autres départements']",https://jobpaw.com/professionals/job-details?idj=17116
Infirmiere Clinicienne,"Institut pour la Sante, la Population et le Développement",20 Juin 2025,Delmas,Santé et Professions médicales,Sciences Infirmières,Licence,,CDI,"['Capacité à travailler en milieu institutionnel et en milieu communautaire', 'Disponibilité immédiate et à plein temps', 'Capacité de travailler sous pression et en équipe', ""Sens de l'organisation"", 'Dynamisme']",https://jobpaw.com/professionals/job-details?idj=17117
Chauffeur,Plan International,23 Juin 2025,Jeremie,Transport et Logistique,Logistique,Non précisé,,,"['Connaissance des Règlements de la circulation et du code de la route', 'Capacité de conduire un véhicule à 4 roues', 'Connaissance de base en mécanique', 'Bonnes relations interpersonnelles', 'Exactitude et promptitude']",https://jobpaw.com/professionals/job-details?idj=17118
Chauffeur,Plan International,23 Juin 2025,Jeremie,Transport et Logistique,Logistique,Non précisé,,,"['Études Niveau Secondaire', 'Capacité de conduire un véhicule à 4 roues', 'Permis de conduire Valide', 'Connaissance des Règlements de la circulation et du code de la route', 'Connaissance de base en mécanique, un atout']",https://jobpaw.com/professionals/job-details?idj=17119
Chauffeur,Plan International,23 Juin 2025,Jeremie,Transport et Logistique,Logistique,Non précisé,,,"['Capacité de conduire un véhicule à 4 roues', 'Permis de conduire Valide', 'Connaissance des Règlements de la circulation et du code de la route', 'Connaissance de base en mécanique', 'Conduite modérée et prudente']",https://jobpaw.com/professionals/job-details?idj=17120
Professeur,SunnyTouch,23 Juin 2025,Anse-a-Galets,Sciences de l’Education,Enseignement Technique,,,,,https://jobpaw.com/professionals/job-details?idj=17121
Professeur,SunnyTouch,23 Juin 2025,Anse-a-Galets,Sciences de l’Education,Enseignement Technique,,,,,https://jobpaw.com/professionals/job-details?idj=17122
Programme Officer,Direction Générale de la Protection Civile et des Opérations d'Aide Humanitaire Européennes (ECHO),23 Juin 2025,Petion-Ville,Sciences Humaines et Sociales,Service Social,Master,5.0,CDD,"['Gestion de opérations/projets de programmes humanitaires', 'Un solide reconnaissance de la aide humanitaire et la protection civile de la UE', 'Solidarité avec les ONG internationales', 'Expérience dans des environnements multiculturels', 'Connaissance des principes, politiques et normes de la aide humanitaire']",https://jobpaw.com/professionals/job-details?idj=17123
Agent,SunnyTouch,23 Juin 2025,Anse-a-Galets,Marketing,Marketing,Non précisé,,,,https://jobpaw.com/professionals/job-details?idj=17125
Expert en régulation des tarifs,Unite Technique d'Execution du Ministere de l'Economie et des Finances,23 Juin 2025,Port-au-Prince,Sciences économiques et politiques,Economie et Finance,Master,7.0,,"['Formation universitaire de niveau minimum de Maitrise / Master ou équivalent en économie, finance, ingénierie ou dans un domaine connexe', 'Justifier d’une expérience générale de travail d’au moins 7 ans dans l’un des domaines susmentionnés', 'Justifier d’une expérience spécifique comprenant au moins trois (3) ans dans la régulation des tarifs ou la fixation des prix de l’électricité, du gaz ou des énergies renouvelables', 'Justifier d’une expérience spécifique comprenant au moins cinq (5) ans d’expérience dans l’analyse des politiques tarifaires ou la modélisation financière', ""Capacité démontrée à travailler de manière autonome ainsi qu'en équipe, dans un environnement multiculturel""]",https://jobpaw.com/professionals/job-details?idj=17126
Responsable pedagogique,SunnyTouch,23 Juin 2025,Anse-a-Galets,Sciences de l’Education,Enseignement Technique,Non précisé,,,[],https://jobpaw.com/professionals/job-details?idj=17127
Officier (ère) Subventions & Partenariats,Concern Worldwide Haiti,23 Juin 2025,Port-au-Prince,Sciences Humaines et Sociales,Sciences Sociales,Licence,4.0,,"['Gestion des subventions', 'Compétences avérées en matière de tenue de dossiers', 'Volonté et capacité de se rendre sur le terrain', 'Bonne connaissance du cycle de gestion de projet', 'Capacité avérée à effectuer des tâches complexes']",https://jobpaw.com/professionals/job-details?idj=17128
Procurement Officer,Chemonics / GHSC-PSM,24 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Passation de Marchés / Procurement,Licence,3.0,CDI,"['Gestion des achats', 'Rédaction de contrats', 'Respect des exigences contractuelles', 'Communication avec les fournisseurs', 'Compétences avancées en Microsoft Office']",https://jobpaw.com/professionals/job-details?idj=17129
Technicien de service et entretien,Metallo Prefab S.A.,24 Juin 2025,Port-au-Prince,Mécanique,Mécanique Industrielle,Non précisé,,CDI,"['Expérience prouvée en maintenance industrielle ou réparation technique', 'Connaissance des systèmes électriques', 'Capacité à lire et interpréter des manuels techniques et schémas', 'Bon esprit d’analyse', 'Autonomie']",https://jobpaw.com/professionals/job-details?idj=17130
Soudeur,Metallo Prefab S.A.,24 Juin 2025,Port-au-Prince,Métiers du bâtiment et autres,Ferronnerie Soudure,Non précisé,,CDI,"['Réaliser des soudures de haute qualité selon les plans techniques et les normes de sécurité', 'Assembler des pièces métalliques en utilisant les procédés MIG, TIG ou à l’arc', 'Effectuer des ajustements, meulages et vérifications de la qualité des soudures', 'Collaborer avec les équipes de fabrication et les superviseurs', 'Maintenir un poste de travail propre et respecter les consignes de sécurité']",https://jobpaw.com/professionals/job-details?idj=17131
Risk and Compliance Advisor I,Catholic Relief Services,9 Juil 2025,,"Management/Gestion, Finance, Comptabilité et Commerce",Audit et Conseil,Master,7.0,CDI,"['Strong relationship management skills', 'Strong analytical, organizational, and systems thinking skills', 'Ability to make sound judgment', 'Ethical conduct in accordance with recognized professional and organizational codes of ethics', 'Knowledge of and experience working with USG, DFID, and other major public donors']",https://jobpaw.com/professionals/job-details?idj=17132
Ofisye(syèz) Sipò Mouvman Jistis Ekonomik ak lavi dirab,Fondasyon Depase Fwontyè,24 Juin 2025,La Gonave,Sciences économiques et politiques,Economie,Licence,3.0,CDD,"['Bon konesans sou zouti ak lojisyèl jesyon done', 'Genyen kapasite nan itilize lojisyèl', 'Genyen kapasite pou ekri rapò ki gen bon kalite', 'Genyen konesans sou dwa moun ak dwa timoun an patikilye', 'Gen kapasite pou travay nan milye riral, epi nan zòn ki difisil']",https://jobpaw.com/professionals/job-details?idj=17133
Vendeur,,24 Juin 2025,Carrefour,Marketing,Marketing,Non précisé,,,"['Etre vendeur', 'Savoir vendre']",https://jobpaw.com/professionals/job-details?idj=17134
Assistante du pilote,SunnyTouch,24 Juin 2025,Anse d'Hainault,Métiers de l'air,Hôtesse de l'air,,,,[],https://jobpaw.com/professionals/job-details?idj=17135
IT Specialist,SunnyTouch,25 Juin 2025,Anse-a-Galets,Sciences Informatiques,Base de données,Non précisé,,,,https://jobpaw.com/professionals/job-details?idj=17136
"Directeur (trice) associé (e), Finances et Opérations",Family Health International (FHI360),25 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Licence,9.0,CDD,"['Expérience en comptabilité, opérations et gestion financière', 'Analyse financière', 'Reporting financier', 'Élaboration budgétaire', 'Prévisions']",https://jobpaw.com/professionals/job-details?idj=17137
Conseiller(e) Technique Senior (Services cliniques),Family Health International (FHI360),25 Juin 2025,Port-au-Prince,Santé et Professions médicales,Santé Publique,Master,12.0,CDD,"['Connaissance des règles et réglementations du gouvernement américain', 'Compétences avérées en mentorat', 'Leadership', 'Mise en réseau', 'Capacité à gérer et accomplir plusieurs tâches']",https://jobpaw.com/professionals/job-details?idj=17138
Manadjè IT,Sustainaible Organic Integrated Livelihoods,25 Juin 2025,Port-au-Prince,Sciences Informatiques,Systèmes,Non précisé,5.0,,"['Gestion de projet', ""Supervision d'équipe"", 'Analyse des besoins', 'Gestion des infrastructures informatiques', 'Administration Salesforce']",https://jobpaw.com/professionals/job-details?idj=17139
Barman,SunnyTouch,26 Juin 2025,Port-a-Piment,"Tourisme, Hôtellerie et Restauration",Hôtellerie,Non précisé,0.0,,"['techniques de mixologie', 'bonne présentation', 'sens de l’accueil', 'esprit d’équipe', 'ponctualité']",https://jobpaw.com/professionals/job-details?idj=17140
Spécialiste en Gestion de Bases de Données,SunnyTouch,26 Juin 2025,Jacmel,Sciences Informatiques,Base de données,Licence,2.0,,"['Concevoir, administrer et maintenir les bases de données', 'Développer des systèmes de collecte et d’analyse des données', ""Garantir la sécurité, l'intégrité et la confidentialité des données"", 'Mettre en place des procédures de sauvegarde et de récupération', 'Élaborer des tableaux de bord et des rapports d’aide à la décision']",https://jobpaw.com/professionals/job-details?idj=17141
Spécialiste en Douane,SunnyTouch,26 Juin 2025,Limbe,Douane,Cargo freight,Licence,2.0,,"['Diplôme en commerce international, gestion douanière, logistique ou domaine connexe', 'Expérience avérée (minimum 2 ans) en tant qu’agent de douane ou dans un rôle similaire', 'Connaissance approfondie du Code des Douanes haïtien et des procédures de dédouanement', 'Maîtrise des systèmes douaniers électroniques (ex. SYDONIA)', 'Intégrité, rigueur, et souci du détail']",https://jobpaw.com/professionals/job-details?idj=17142
Junior Accountant (Account Payables),Haitian Education and Leadership Program,27 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Sciences Comptables,Licence,2.0,CDI,"['Travailler sous pression', 'Fluent en français & anglais', 'Préparer des rapprochements de comptes', 'Documentation appropriée', 'Entrée de données dans Intacct']",https://jobpaw.com/professionals/job-details?idj=17143
Officier(e) des Finances,Family Health International (FHI360),27 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Sciences Comptables,Licence,5.0,CDD,"[""Bonne capacité d'analyse, de calcul et de résolution de problèmes."", ""Compétences proactives avérées en matière d'identification des possibilités d'économies, d'évitement des coûts et d'efficacité."", ""Capacité à élaborer un plan de travail et des priorités efficaces pour atteindre les objectifs de l'entreprise."", ""Expertise avérée dans l'établissement de relations efficaces avec les principales parties prenantes."", 'Maîtrise des applications Microsoft Office telles que MS Word, Excel, PowerPoint, et compétences informatiques bien développées.']",https://jobpaw.com/professionals/job-details?idj=17144
Responsable Senior des subventions,Family Health International (FHI360),14 Juil 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Management/Gestion,Licence,8.0,CDD,"['Connaissance des règles et règlements du gouvernement des États-Unis', ""Expérience avérée de la gestion d'un portefeuille de sous-attributions"", 'Solides compétences en gestion financière', 'Capacité à interpréter des informations et des rapports financiers', ""Bonne capacité d'analyse, de calcul et de résolution de problèmes""]",https://jobpaw.com/professionals/job-details?idj=17145
HIV Advisor,Fondation SEROvie,27 Juin 2025,Port-au-Prince,Santé et Professions médicales,Santé Publique,Non précisé,6.0,CDD,"['Établir de solides relations de travail', 'Mentorat', 'Leadership', 'Networking', 'Gérer de nombreuses tâches']",https://jobpaw.com/professionals/job-details?idj=17146
Chef Comptable,MSPP/Laboratoire National de Sante Publique/UCP,27 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Comptabilité,Master,5.0,CDI,"['Analyser le processus des transactions', 'Participer à la préparation des budgets annuels', 'Vérifier que toutes les transactions sont enregistrées dans le Grand Livre Général', 'Analyser la situation du Cash-flow Management', 'Vérifier avec précision que les requêtes de Fonds sont soumises']",https://jobpaw.com/professionals/job-details?idj=17148
Test,SunnyTouch,2025-06-28,Delmas,Agriculture – Agroalimentaire,Agriculture,Non précisé,,,,https://jobpaw.com/professionals/job-details?idj=17149
Hotesse de l'air,SunnyTouch,29 Juin 2025,Delmas,Métiers de l'air,Ticketing,,,,[],https://jobpaw.com/professionals/job-details?idj=17150
Chef de projet,SunnyTouch,29 Juin 2025,Port-au-Prince,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion de Projets,Licence,3.0,,,https://jobpaw.com/professionals/job-details?idj=17151
Assistant en education,Plan International,30 Juin 2025,Jeremie,Sciences de l’Education,Sciences de l'Education,Licence,3.0,CDI,"['Connaissance du système éducatif haïtien', 'Capacité de concevoir des documents techniques', 'Maitrise du français', 'Maitrise du créole', 'Maitrise des logiciels de base']",https://jobpaw.com/professionals/job-details?idj=17152
"Chargé(e) MEL (Suivi, Évaluation et Apprentissage)",Family Health International (FHI360),30 Juin 2025,Cap-Haitien,Santé et Professions médicales,Santé Publique,Licence,4.0,CDD,"['Conception et mise en œuvre des systèmes et outils de S&E', 'Analyse des données', 'Soutien aux partenaires de mise en œuvre', 'Évaluation de la qualité des données (DQAs)', 'Documenter les leçons apprises et les bonnes pratiques en S&E']",https://jobpaw.com/professionals/job-details?idj=17153
Agent cargo freight,SunnyTouch,9 Juil 2025,Port-au-Prince,Douane,Cargo freight,Non précisé,,CDI,,https://jobpaw.com/professionals/job-details?idj=17154
Superviseur de Garage,prive,6 Nov 2025,,Transport et Logistique,Logistique,Licence,5.0,CDI,"[""Superviser et coordonner les activités de l'équipe de mécaniciens"", 'Planifier et organiser les interventions de maintenance sur les équipements mécaniques', ""Assurer le respect des normes de qualité, de sécurité et d'environnement en vigueur dans l'entreprise"", ""Analyser les dysfonctionnements de l'équipement et proposer des solutions techniques pour les résoudre"", ""Rédiger des rapports d'intervention et de suivi des travaux effectués""]",https://jobpaw.com/professionals/job-details?idj=17155
Conseiller (ere) de laboratoire et en chaîne d'approvisionnement (Lab Advisor I),Family Health International (FHI360),2 Juil 2025,Port-au-Prince,Santé et Professions médicales,Santé Publique,Master,8.0,CDD,"['Connaissances des plateformes diagnostiques', 'systèmes de gestion de la qualité', 'normes de laboratoire', 'systèmes de chaîne d’approvisionnement', 'Expérience en renforcement des capacités techniques']",https://jobpaw.com/professionals/job-details?idj=17156
Chargé d'éducation (PSS),Excellence Centre de Services et d'information S.A.,2 Juil 2025,Port-au-Prince,Sciences de l’Education,Psycho-pédagogie,Licence,5.0,,"[""Minimum de 5 ans d'expérience de travail dans le secteur de l'éducation et/ou de la protection de l'enfance en Haïti"", ""Minimum de 2 ans d'expérience dans la prestation de programmes de soutien psychosocial aux enfants"", ""Minimum de 2 ans d'expérience dans le domaine de l'expertise technique dans des contextes humanitaires"", 'Expérience de travail dans des contextes complexes et volatiles', 'Résultats documentés liés aux responsabilités du poste']",https://jobpaw.com/professionals/job-details?idj=17157
Chargé d'éducation (ENF),Excellence Centre de Services et d'information S.A.,2 Juil 2025,Pétion-Ville,Sciences de l’Education,Psycho-pédagogie,Non précisé,5.0,CDD,"[""Minimum de 5 ans d'expérience de travail dans le secteur de l'éducation en Haïti"", ""Minimum de 2 ans d'expérience dans le domaine de l'expertise technique dans des contextes humanitaires"", 'Expérience de travail dans des contextes complexes et volatiles', 'Résultats documentés liés aux responsabilités du poste', ""Maîtrise du français, tant à l'écrit qu'à l'oral""]",https://jobpaw.com/professionals/job-details?idj=17158
Chargé·e de Finance,Cooperation Suisse,3 Juil 2025,Zone,"Management/Gestion, Finance, Comptabilité et Commerce",Gestion Financière,Non précisé,5.0,CDD,"['intégrité', 'honnêteté', 'compétence remarquable en finance', ""esprit d'initiative"", 'capacité analytique']",https://jobpaw.com/professionals/job-details?idj=17159
Chargé d'éducation (PSS),Excellence Centre de Services et d'information S.A.,2 Juil 2025,Port-au-Prince,Sciences de l’Education,Psycho-pédagogie,Non précisé,5.0,CDD,"[""Minimum de 5 ans d'expérience de travail dans le secteur de l'éducation et/ou de la protection de l'enfance en Haïti"", ""Minimum de 2 ans d'expérience dans la prestation de programmes de soutien psychosocial aux enfants"", ""Minimum de 2 ans d'expérience dans le domaine de l'expertise technique dans des contextes humanitaires"", 'Expérience de travail dans des contextes complexes et volatiles', 'Résultats documentés liés aux responsabilités du poste']",https://jobpaw.com/professionals/job-details?idj=17160
M&E Manager,Fondation SEROvie,3 Juil 2025,Delmas,Santé et Professions médicales,Santé Publique,Non précisé,5.0,CDD,"['Compétences avérées dans le mentorat', 'Leadership', 'Networking', 'Capacité à gérer et compléter de nombreuses tâches', 'Expérience à identifier pro activement les risques']",https://jobpaw.com/professionals/job-details?idj=17161
Regional Data Assistant (RDA),Fondation SEROvie,3 Juil 2025,Gonaives,Santé et Professions médicales,Santé Publique,Licence,3.0,,"['Connaissance parfaite de Microsoft Office (Excel, PowerPoint)', 'Connaissance du SPSS ou d’autres logiciels de traitement de données', 'Connaissance de base en informatique (prioritairement réseau)', 'Capacité de s’exprimer en Français et Créole correctement (oral et écrit)', 'Capacité de travailler en équipe et sous pression']",https://jobpaw.com/professionals/job-details?idj=17162
